iter	Passed	Remaining
0	18	18129
1	35	17807
2	53	17803
3	77	19176
4	101	20263
5	125	20806
6	150	21297
7	174	21667
8	199	22000
9	225	22366
10	251	22596
11	278	22934
12	301	22923
13	332	23435
14	357	23502
15	379	23366
16	402	23276
17	422	23072
18	442	22823
19	448	21963
20	467	21782
21	487	21669
22	506	21506
23	526	21396
24	545	21280
25	564	21162
26	580	20937
27	601	20877
28	624	20899
29	650	21018
30	675	21100
31	697	21096
32	719	21095
33	743	21113
34	762	21022
35	781	20936
36	801	20866
37	820	20780
38	839	20696
39	860	20649
40	880	20606
41	901	20560
42	920	20491
43	945	20540
44	968	20547
45	996	20657
46	1034	20981
47	1069	21211
48	1103	21426
49	1132	21514
50	1158	21561
51	1185	21617
52	1210	21630
53	1238	21689
54	1263	21704
55	1287	21707
56	1309	21658
57	1334	21667
58	1358	21658
59	1385	21702
60	1412	21750
61	1438	21759
62	1464	21778
63	1487	21754
64	1512	21759
65	1538	21777
66	1563	21773
67	1586	21749
68	1611	21738
69	1633	21708
70	1657	21683
71	1681	21667
72	1704	21640
73	1732	21679
74	1760	21708
75	1783	21684
76	1810	21703
77	1831	21654
78	1854	21616
79	1862	21418
80	1883	21368
81	1905	21329
82	1926	21279
83	1936	21112
84	1957	21074
85	1978	21026
86	2067	21695
87	2091	21676
88	2112	21627
89	2133	21575
90	2160	21582
91	2186	21580
92	2211	21565
93	2234	21538
94	2259	21525
95	2279	21464
96	2299	21403
97	2319	21351
98	2340	21303
99	2361	21257
100	2381	21198
101	2400	21132
102	2421	21085
103	2441	21031
104	2460	20975
105	2481	20926
106	2501	20874
107	2521	20828
108	2544	20801
109	2565	20760
110	2589	20736
111	2620	20777
112	2646	20772
113	2669	20751
114	2692	20722
115	2713	20681
116	2728	20593
117	2757	20609
118	2784	20611
119	2805	20576
120	2831	20569
121	2855	20547
122	2877	20514
123	2897	20468
124	2915	20408
125	2936	20367
126	2958	20336
127	2980	20306
128	3004	20286
129	3030	20279
130	3051	20240
131	3071	20198
132	3094	20169
133	3117	20144
134	3136	20099
135	3156	20051
136	3169	19964
137	3189	19920
138	3208	19875
139	3228	19830
140	3248	19789
141	3268	19751
142	3289	19711
143	3308	19668
144	3329	19629
145	3349	19590
146	3369	19554
147	3392	19530
148	3425	19563
149	3451	19560
150	3475	19540
151	3500	19529
152	3526	19522
153	3552	19512
154	3575	19490
155	3601	19482
156	3625	19467
157	3650	19454
158	3662	19371
159	3687	19359
160	3712	19344
161	3736	19326
162	3761	19313
163	3787	19304
164	3808	19271
165	3828	19235
166	3850	19206
167	3871	19172
168	3891	19135
169	3911	19098
170	3931	19061
171	3953	19031
172	3974	18997
173	3994	18962
174	4014	18924
175	4034	18891
176	4056	18861
177	4079	18836
178	4103	18819
179	4126	18798
180	4150	18781
181	4174	18762
182	4197	18740
183	4222	18727
184	4246	18707
185	4270	18688
186	4294	18670
187	4318	18652
188	4338	18617
189	4360	18590
190	4381	18558
191	4401	18523
192	4421	18487
193	4442	18456
194	4463	18425
195	4483	18390
196	4503	18357
197	4523	18322
198	4543	18286
199	4563	18254
200	4583	18220
201	4606	18198
202	4628	18170
203	4650	18145
204	4671	18117
205	4694	18092
206	4716	18069
207	4737	18040
208	4757	18007
209	4778	17974
210	4797	17939
211	4816	17904
212	4836	17868
213	4852	17823
214	4872	17790
215	4892	17757
216	4911	17722
217	4930	17687
218	4951	17656
219	4970	17624
220	4990	17591
221	5011	17562
222	5035	17546
223	5056	17517
224	5077	17489
225	5099	17464
226	5119	17433
227	5144	17419
228	5170	17407
229	5196	17397
230	5221	17382
231	5244	17361
232	5267	17340
233	5291	17322
234	5320	17321
235	5347	17309
236	5371	17293
237	5398	17283
238	5418	17254
239	5442	17236
240	5467	17219
241	5489	17194
242	5515	17181
243	5536	17154
244	5560	17134
245	5584	17118
246	5609	17099
247	5633	17082
248	5653	17052
249	5674	17023
250	5694	16991
251	5714	16963
252	5736	16936
253	5756	16905
254	5779	16885
255	5809	16882
256	5834	16869
257	5856	16842
258	5877	16814
259	5900	16794
260	5927	16783
261	5950	16760
262	5975	16746
263	6001	16732
264	6027	16716
265	6049	16694
266	6072	16671
267	6095	16649
268	6117	16624
269	6138	16597
270	6163	16579
271	6185	16554
272	6206	16527
273	6228	16502
274	6249	16475
275	6271	16450
276	6291	16421
277	6313	16398
278	6334	16369
279	6357	16348
280	6378	16320
281	6399	16294
282	6419	16264
283	6442	16242
284	6463	16215
285	6486	16193
286	6507	16167
287	6532	16148
288	6555	16127
289	6576	16101
290	6601	16084
291	6623	16059
292	6649	16044
293	6672	16023
294	6697	16007
295	6719	15981
296	6742	15958
297	6763	15933
298	6787	15914
299	6811	15892
300	6831	15864
301	6851	15836
302	6871	15806
303	6891	15778
304	6912	15750
305	6935	15728
306	6955	15701
307	6976	15674
308	6996	15645
309	7017	15619
310	7038	15593
311	7060	15569
312	7083	15547
313	7110	15535
314	7133	15511
315	7156	15491
316	7181	15472
317	7205	15452
318	7225	15425
319	7247	15400
320	7268	15375
321	7291	15351
322	7312	15327
323	7339	15312
324	7361	15288
325	7380	15259
326	7399	15229
327	7420	15202
328	7440	15174
329	7460	15146
330	7481	15121
331	7505	15100
332	7528	15080
333	7553	15060
334	7577	15041
335	7604	15027
336	7627	15005
337	7652	14987
338	7676	14967
339	7698	14944
340	7720	14920
341	7742	14895
342	7763	14871
343	7783	14842
344	7804	14816
345	7823	14788
346	7843	14759
347	7863	14733
348	7888	14715
349	7912	14695
350	7936	14674
351	7960	14654
352	7980	14627
353	8000	14599
354	8024	14579
355	8054	14571
356	8081	14556
357	8107	14538
358	8131	14518
359	8155	14497
360	8178	14476
361	8200	14452
362	8221	14427
363	8247	14411
364	8270	14387
365	8292	14364
366	8318	14348
367	8348	14337
368	8375	14322
369	8401	14304
370	8421	14277
371	8443	14254
372	8463	14227
373	8483	14199
374	8503	14171
375	8527	14151
376	8550	14130
377	8573	14108
378	8601	14093
379	8626	14074
380	8652	14058
381	8758	14169
382	8793	14166
383	8845	14189
384	8875	14178
385	8899	14155
386	8922	14133
387	8947	14113
388	8970	14090
389	9000	14078
390	9025	14057
391	9051	14039
392	9072	14013
393	9094	13988
394	9115	13962
395	9137	13936
396	9161	13915
397	9183	13890
398	9208	13869
399	9232	13848
400	9255	13826
401	9277	13800
402	9299	13775
403	9320	13749
404	9345	13729
405	9366	13704
406	9392	13684
407	9416	13663
408	9441	13642
409	9466	13621
410	9492	13602
411	9511	13574
412	9533	13549
413	9555	13525
414	9576	13499
415	9597	13473
416	9616	13445
417	9637	13419
418	9658	13392
419	9680	13367
420	9700	13340
421	9719	13312
422	9742	13289
423	9767	13269
424	9794	13251
425	9822	13235
426	9844	13210
427	9870	13191
428	9893	13167
429	9919	13149
430	9944	13128
431	9974	13114
432	9996	13089
433	10017	13064
434	10037	13037
435	10059	13012
436	10080	12987
437	10101	12960
438	10123	12937
439	10150	12918
440	10173	12896
441	10202	12880
442	10225	12857
443	10250	12836
444	10271	12810
445	10294	12787
446	10314	12760
447	10334	12733
448	10355	12707
449	10375	12680
450	10395	12654
451	10415	12627
452	10435	12601
453	10456	12575
454	10477	12550
455	10497	12523
456	10518	12498
457	10539	12473
458	10563	12450
459	10586	12427
460	10614	12409
461	10637	12387
462	10661	12365
463	10684	12342
464	10703	12315
465	10726	12291
466	10748	12267
467	10771	12244
468	10793	12220
469	10813	12194
470	10833	12167
471	10854	12142
472	10874	12115
473	10893	12088
474	10911	12059
475	10930	12033
476	10949	12005
477	10968	11977
478	10987	11950
479	11005	11922
480	11024	11895
481	11043	11868
482	11063	11841
483	11083	11815
484	11102	11789
485	11121	11762
486	11140	11735
487	11160	11709
488	11181	11684
489	11201	11659
490	11223	11634
491	11243	11609
492	11264	11584
493	11286	11560
494	11307	11535
495	11330	11512
496	11351	11488
497	11372	11463
498	11392	11438
499	11413	11413
500	11434	11388
501	11455	11363
502	11476	11339
503	11497	11314
504	11517	11288
505	11537	11264
506	11557	11238
507	11578	11214
508	11598	11188
509	11619	11164
510	11641	11140
511	11661	11115
512	11682	11090
513	11701	11064
514	11721	11038
515	11741	11013
516	11760	10987
517	11779	10960
518	11798	10934
519	11816	10907
520	11835	10881
521	11853	10854
522	11876	10831
523	11899	10809
524	11921	10785
525	11942	10762
526	11963	10737
527	11983	10712
528	12003	10687
529	12025	10663
530	12044	10637
531	12064	10613
532	12084	10588
533	12103	10562
534	12122	10536
535	12142	10511
536	12161	10485
537	12181	10461
538	12201	10436
539	12221	10410
540	12241	10386
541	12262	10362
542	12283	10337
543	12303	10313
544	12323	10288
545	12344	10264
546	12364	10239
547	12384	10215
548	12404	10189
549	12424	10165
550	12444	10140
551	12463	10115
552	12483	10090
553	12502	10065
554	12521	10040
555	12541	10015
556	12560	9989
557	12579	9964
558	12598	9938
559	12618	9914
560	12642	9893
561	12661	9867
562	12684	9845
563	12714	9829
564	12750	9816
565	12775	9795
566	12796	9772
567	12818	9749
568	12840	9726
569	12861	9702
570	12882	9679
571	12905	9656
572	12925	9631
573	12945	9607
574	12970	9587
575	12990	9562
576	13010	9537
577	13030	9513
578	13049	9488
579	13071	9465
580	13091	9441
581	13110	9415
582	13129	9390
583	13148	9365
584	13167	9340
585	13186	9315
586	13205	9290
587	13223	9265
588	13244	9242
589	13266	9218
590	13284	9193
591	13307	9171
592	13327	9147
593	13347	9122
594	13365	9097
595	13385	9073
596	13406	9049
597	13425	9025
598	13444	9000
599	13464	8976
600	13485	8952
601	13505	8928
602	13527	8906
603	13551	8884
604	13582	8868
605	13609	8848
606	13637	8829
607	13665	8810
608	13689	8789
609	13716	8769
610	13739	8747
611	13758	8722
612	13781	8700
613	13800	8676
614	13819	8651
615	13838	8626
616	13857	8601
617	13880	8579
618	13903	8557
