iter	RMSE
0	1.075128951
1	1.061440519
2	1.049083312
3	1.035989086
4	1.02021571
5	1.007778886
6	0.9946502584
7	0.9808138756
8	0.9687077776
9	0.9567807257
10	0.9446622931
11	0.9336364377
12	0.9213958646
13	0.9121580895
14	0.9018003441
15	0.8906971647
16	0.8803067101
17	0.8695719411
18	0.8589956715
19	0.850196786
20	0.8429097037
21	0.8345838044
22	0.8258913013
23	0.816180099
24	0.8074298763
25	0.7994622209
26	0.7902555091
27	0.7829392528
28	0.7758480384
29	0.7680909166
30	0.760449205
31	0.7541500334
32	0.7465718946
33	0.7392812898
34	0.7332407129
35	0.7270240499
36	0.71851286
37	0.7119203165
38	0.7071258271
39	0.699923516
40	0.6943441713
41	0.6890295617
42	0.682846482
43	0.6767162277
44	0.6718700303
45	0.6659200003
46	0.6602401141
47	0.6548519111
48	0.648834126
49	0.6431166173
50	0.6365184842
51	0.6302006922
52	0.6255221877
53	0.6205343197
54	0.6156701559
55	0.6108697326
56	0.6052879768
57	0.6006834022
58	0.5964272775
59	0.5918916852
60	0.5870544651
61	0.5820828815
62	0.5775575339
63	0.5728052487
64	0.5681693065
65	0.5646206598
66	0.5603864364
67	0.5566886366
68	0.551882856
69	0.5478419464
70	0.5440188584
71	0.5396370292
72	0.5349858038
73	0.5314606526
74	0.5277783433
75	0.5240424073
76	0.5209183256
77	0.517728756
78	0.5144898559
79	0.5126551467
80	0.509653433
81	0.5057912538
82	0.5015713199
83	0.4998389468
84	0.4964037971
85	0.4937179935
86	0.4903430208
87	0.4864010494
88	0.4824117112
89	0.4793314002
90	0.476823982
91	0.4738452029
92	0.4716485855
93	0.4686926249
94	0.4650402572
95	0.4621800846
96	0.4587413723
97	0.4561499573
98	0.4536851685
99	0.4507499222
100	0.4476837464
101	0.4445519841
102	0.4424149451
103	0.4393437037
104	0.4371297093
105	0.4335446724
106	0.4316945998
107	0.4300563615
108	0.4276520394
109	0.4262465105
110	0.4236906641
111	0.4212781487
112	0.4192751057
113	0.4177367255
114	0.4153808774
115	0.4134644721
116	0.4118908414
117	0.4101230459
118	0.408446649
119	0.4062967149
120	0.4047386118
121	0.4018159954
122	0.4000976653
123	0.3984361914
124	0.3970114185
125	0.3955864347
126	0.3941189751
127	0.3917992165
128	0.3902863619
129	0.3886368277
130	0.3868112782
131	0.3849789923
132	0.3828503374
133	0.3811235207
134	0.3794502447
135	0.3781776475
136	0.3767706811
137	0.3754995088
138	0.3738857276
139	0.3722478158
140	0.3709627365
141	0.3688547955
142	0.3665626891
143	0.3650004452
144	0.3632619443
145	0.3610708955
146	0.3591080401
147	0.3574874917
148	0.3553465289
149	0.3536341119
150	0.3519050427
151	0.3506281801
152	0.3487261272
153	0.3474809214
154	0.3462191512
155	0.3447001489
156	0.3428265388
157	0.3412797953
158	0.3406421515
159	0.3389100188
160	0.3368586418
161	0.3355717764
162	0.3340374473
163	0.3320435667
164	0.3304727178
165	0.3289703909
166	0.3279132096
167	0.3265652387
168	0.3255209216
169	0.3242273553
170	0.3228894254
171	0.3218261574
172	0.3211832216
173	0.3198611122
174	0.3189692303
175	0.3179746962
176	0.3166531554
177	0.3153309713
178	0.3134938071
179	0.3118926097
180	0.3107082611
181	0.3097180622
182	0.3089553797
183	0.3073455224
184	0.3056184922
185	0.304480633
186	0.3033956101
187	0.3022513855
188	0.3013640292
189	0.2996903474
190	0.297854192
191	0.2962482715
192	0.294920039
193	0.294244153
194	0.2930242074
195	0.2918434369
196	0.2907229238
197	0.2897864996
198	0.2886588788
199	0.2868930002
200	0.2861057167
201	0.2848044848
202	0.2832016711
203	0.282051959
204	0.2806032438
205	0.2794770114
206	0.2783309125
207	0.2767152568
208	0.2755369871
209	0.274789434
210	0.273818669
211	0.2727680641
212	0.2718152754
213	0.2707603237
214	0.26914739
215	0.2683468321
216	0.2662067517
217	0.2651135929
218	0.2641384179
219	0.2632862989
220	0.2623252437
221	0.2611723814
222	0.260384298
223	0.2591062084
224	0.258398269
225	0.2573212968
226	0.2560666219
227	0.2553380862
228	0.2543236797
229	0.2536862633
230	0.25290019
231	0.2518976909
232	0.2507422765
233	0.2495676008
234	0.2482645284
235	0.2476747515
236	0.2466541526
237	0.245726748
238	0.2446512556
239	0.2435488793
240	0.2426532648
241	0.241926774
242	0.2408264863
243	0.2399996091
244	0.2383415272
245	0.2370683066
246	0.2360321128
247	0.2354233299
248	0.2345558382
249	0.2336481001
250	0.2328683457
251	0.2321008409
252	0.230740618
253	0.2299496808
254	0.2291644946
255	0.2284133216
256	0.2276165725
257	0.2269992587
258	0.2262458443
259	0.2250897225
260	0.2240428381
261	0.2231069022
262	0.2222285663
263	0.2211913822
264	0.2206355781
265	0.2199823036
266	0.2190923963
267	0.2181882852
268	0.2174135233
269	0.216816665
270	0.2160866797
271	0.2150478946
272	0.2144023345
273	0.2136277191
274	0.2122685815
275	0.2116350462
276	0.2108080148
277	0.2104224212
278	0.2099024394
279	0.2089242822
280	0.2086172615
281	0.207660277
282	0.2066671895
283	0.2058210085
284	0.2049763975
285	0.2040211091
286	0.2032058626
